10
Mary Chan                  77  88  88  87  89  84  87  80  86  85
Steve Smith                78  90  72  81  98  94  88  73  79  94
Susie Chan                 86  75  97  90  93 100  94  73  83  77
James Wilson               77  78  79  74  72  76  94  94  99  85
Jean Garcia                87  96  93  96  97  86  80  97  74  90
Kate Johnson               93  72  89  72  74  77  82  85  85  85
George Wilson              83  90  74  98  94  90  79  85  76  73
Susie Smith                88  98  75  73 100  98  89  87  98  72
Susie Jones               100  75 100  83  90  79  72  91  99  80
Steve Doe                  73  90  96  78 100  97  87  99  82  83
